 ,    December 2010,    December 2009,  Current/YR (Cum), Previous/YR (Cum)

Branch - 0000
INCOME
------
WORKING PROFIT,0,0,0,0
 ,*******************,*******************,*******************,*******************
COFFINS,0,0,0,0
WREATH,0,0,0,0
GRAVESTONES,0,0,0,0
FUNERALS,0,0,0,0
 ,*******************,*******************,*******************,*******************
LESS: CONTROLLABLE BRANCH EXPENSES,0,0,0,0
 ,*******************,*******************,*******************,*******************
FUNERAL SALES DOCUMENTATION FEE,0,0,0,0
CREDIT CARD COSTS,0,0,0,0
POSTBOX RENTAL,0,0,0,0
BAD DEBTS WRITTEN OFF,0,0,0,0
TELEPHONE COSTS,0,0,0,0
ADVERTISING,0,0,0,0
OFFICE ALLOWANCES,0,0,0,0
   - LEAVE / BONUS ALLOWANCE,0,0,0,0
   - GUARANTEED INCOME,0,0,0,0
   - OTHER OFFICE ALLOWANCES,0,0,0,0
RENT PAID - BUILDINGS,0,0,0,0
MAINTENANCE - BUILDINGS,0,0,0,0
SECURITY,0,0,0,0
CLEANING COSTS,0,0,0,0
MEDICAL WASTE,0,0,0,0
LOSS DUE TO THEFT,0,0,0,0
WATER & ELECTRICITY,0,0,0,0
 ,*******************,*******************,*******************,*******************
 ,-----------------,-----------------,-----------------,-----------------
NET INCOME/-(LOSS)BEFORE H/O EXPENSES,0,0,0,0
 ,-----------------,-----------------,-----------------,-----------------

TOTAL SALES/TURNOVER,0,0,0,0
 ,*******************,*******************,*******************,*******************
COFFIN SALES,0,0,0,0
WREATH SALES,0,0,0,0
GRAVESTONE SALES,0,0,0,0
FUNERALS CARRIED OUT,0,0,0,0
 ,*******************,*******************,*******************,*******************
COFFIN ACCOUNT
--------------
COFFIN SALES

LESS: EXPENSES,0,0,0,0
 ,*******************,*******************,*******************,*******************
COST OF SALES,0,0,0,0
COMMISSION PAID,0,0,0,0
 ,*******************,*******************,*******************,*******************
 ,-----------------,-----------------,-----------------,-----------------
WORKING PROFIT TO INCOME STATEMENT,0,0,0,0
 ,-----------------,-----------------,-----------------,-----------------
GROSS PROFIT PERCENTAGE,   0.00%,   0.00%,   0.00%,   0.00%


WREATH ACCOUNT
--------------
WREATH SALES
LESS: EXPENSES,0,0,0,0
 ,*******************,*******************,*******************,*******************
COST OF SALES,0,0,0,0
COST OF SALES- FRESH FLOWERS,0,0,0,0
COMMISSION,0,0,0,0
 ,*******************,*******************,*******************,*******************
 ,-----------------,-----------------,-----------------,-----------------
WORKING PROFIT TO INCOME STATEMENT,0,0,0,0
 ,-----------------,-----------------,-----------------,-----------------
GROSS PROFIT PERCENTAGE,   0.00%,   0.00%,   0.00%,   0.00%


GRAVESTONE ACCOUNT
------------------
GRAVESTONE SALES
LESS: EXPENSES,0,0,0,0
 ,*******************,*******************,*******************,*******************
COST OF SALES,0,0,0,0
COMMISSION PAID,0,0,0,0
 ,*******************,*******************,*******************,*******************
 ,-----------------,-----------------,-----------------,-----------------
WORKING PROFIT TO INCOME STATEMENT,0,0,0,0
 ,-----------------,-----------------,-----------------,-----------------
GROSS PROFIT PERCENTAGE,   0.00%,   0.00%,   0.00%,   0.00%

FUNERAL ACCOUNT
---------------
FUNERALS CARRIED OUT
LESS: EXPENSES,0,0,0,0
 ,*******************,*******************,*******************,*******************
COMPREHENSIVE PRICE EXPENSES,0,0,0,0
    MORTUARY FEE,0,0,0,0
    NAMEPLATES,0,0,0,0
    MAINT & DEPR - VEHICLES,0,0,0,0
    FUEL,0,0,0,0
    MAINT & DEPR - EQUIPMENT,0,0,0,0
    UNDERTAKERSFEE,0,0,0,0
    TELEPHONE COSTS,0,0,0,0
NON CORE SERVICES,0,0,0,0
    TRANSPORT,0,0,0,0
    EQUIPMENT,0,0,0,0
    REFRESHMENTS,0,0,0,0
    COMPENSATION,0,0,0,0
OTHER EXPENSES,0,0,0,0
    FUNERAL NOTICES & PROGRAMMES,0,0,0,0
    DOCTERS' FEES,0,0,0,0
    GRAVE COSTS,0,0,0,0
    RENTAL EXPENSES,0,0,0,0
    CREMATION FEES,0,0,0,0
    OTHER TRANSPORT,0,0,0,0
    COMMUNITY INVOLVEMENT,0,0,0,0
    SUNDRY EXPENSES,0,0,0,0
 ,*******************,*******************,*******************,*******************
 ,-----------------,-----------------,-----------------,-----------------
WORKING PROFIT TO INCOME STATEMENT,0,0,0,0
 ,-----------------,-----------------,-----------------,-----------------
