 ,         May 2011,         May 2010,  Current/YR (Cum), Previous/YR (Cum)

Branch - 0012  BENONI                        Area 5 JOHANNESBURG
INCOME
------
WORKING PROFIT,98671.74,61137.06,844711.82,793539.82
 ,*******************,*******************,*******************,*******************
COFFINS,8522.96,5027.22,105870.58,76872.32
WREATH,4983.59,6953.03,38184.51,37523.59
GRAVESTONES,-255.01,91.11,3081.5,5155.38
FUNERALS,85420.2,49065.7,697575.23,673988.53
 ,*******************,*******************,*******************,*******************
LESS: CONTROLLABLE BRANCH EXPENSES,-28932.84,-15925.81,-174051.38,-158521.15
 ,*******************,*******************,*******************,*******************
FUNERAL SALES DOCUMENTATION FEE,-69,-44,-684,-804
CREDIT CARD COSTS,-1332.4,-803.21,-7952.85,-13286.53
POSTBOX RENTAL,0,0,-312.33,-259.9
BAD DEBTS WRITTEN OFF,-11.37,-3.07,-431.43,446.65
TELEPHONE COSTS,-14323.07,-28.31,-14778.15,-1935.76
ADVERTISING,-145.96,-1058.09,-2727.02,-2870.71
OFFICE ALLOWANCES,0,0,0,0
   - LEAVE / BONUS ALLOWANCE,0,0,-1661.16,-1485.88
   - GUARANTEED INCOME,55.08,0,55.08,0
   - OTHER OFFICE ALLOWANCES,-1616.02,-1608.07,-19958.73,-18267.05
RENT PAID - BUILDINGS,-9196.25,-9168.54,-106428.92,-99622.36
MAINTENANCE - BUILDINGS,-2200,-3125,-8065.9,-14701.88
SECURITY,-458.4,-93.77,-5693.95,-2554.37
CLEANING COSTS,0,-2.45,0,-2.45
MEDICAL WASTE,0,0,0,0
LOSS DUE TO THEFT,0,0,0,0
WATER & ELECTRICITY,364.55,8.7,-5412.02,-3176.91
 ,*******************,*******************,*******************,*******************
 ,-----------------,-----------------,-----------------,-----------------
NET INCOME/-(LOSS)BEFORE H/O EXPENSES,69738.9,45211.25,670660.44,635018.67
 ,-----------------,-----------------,-----------------,-----------------

TOTAL SALES/TURNOVER,153924.06,110413.25,1665146.06,1683517.91
 ,*******************,*******************,*******************,*******************
COFFIN SALES,29482.43,13266.45,326078.72,275531.79
WREATH SALES,6697.88,8670.05,100143.05,114687.78
GRAVESTONE SALES,-4.13,376.38,71099.84,106662.25
FUNERALS CARRIED OUT,117747.88,88100.37,1167824.45,1186636.09
 ,*******************,*******************,*******************,*******************
COFFIN ACCOUNT
--------------
COFFIN SALES,29482.43,13266.45,326078.72,275531.79

LESS: EXPENSES,-20959.47,-8239.23,-220208.14,-198659.47
 ,*******************,*******************,*******************,*******************
COST OF SALES,-18182.25,-7133.44,-195736.06,-171009.05
COMMISSION PAID,-2777.22,-1105.79,-24472.08,-27650.42
 ,*******************,*******************,*******************,*******************
 ,-----------------,-----------------,-----------------,-----------------
WORKING PROFIT TO INCOME STATEMENT,8522.96,5027.22,105870.58,76872.32
 ,-----------------,-----------------,-----------------,-----------------
GROSS PROFIT PERCENTAGE,  38.32%,  46.22%,  39.97%,  37.93%


WREATH ACCOUNT
--------------
WREATH SALES,6697.88,8670.05,100143.05,114687.78
LESS: EXPENSES,-1714.29,-1717.02,-61958.54,-77164.19
 ,*******************,*******************,*******************,*******************
COST OF SALES,-533.57,-565.66,-9324.16,-12400.13
COST OF SALES- FRESH FLOWERS,-570.5,-282.22,-43210.33,-53498.64
COMMISSION,-610.22,-869.14,-9424.05,-11265.42
 ,*******************,*******************,*******************,*******************
 ,-----------------,-----------------,-----------------,-----------------
WORKING PROFIT TO INCOME STATEMENT,4983.59,6953.03,38184.51,37523.59
 ,-----------------,-----------------,-----------------,-----------------
GROSS PROFIT PERCENTAGE,  92.03%,  93.47%,  90.68%,  89.18%


GRAVESTONE ACCOUNT
------------------
GRAVESTONE SALES,-4.13,376.38,71099.84,106662.25
