 ,     January 2011,     January 2010,  Current/YR (Cum), Previous/YR (Cum)

Branch - 0014  BETHLEHEM                     Area 2 KROONSTAD
INCOME
------
WORKING PROFIT,81261.63,88799.55,490976.99,448854.76
 ,*******************,*******************,*******************,*******************
COFFINS,11630.08,15237.6,79724.36,58739.99
WREATH,-1410.46,5432.93,8303.1,5138.81
GRAVESTONES,2650.75,115.88,13390,5838.12
FUNERALS,68391.26,68013.14,389559.53,379137.84
 ,*******************,*******************,*******************,*******************
LESS: CONTROLLABLE BRANCH EXPENSES,-14493.92,-6312.82,-69457.62,-54105.18
 ,*******************,*******************,*******************,*******************
FUNERAL SALES DOCUMENTATION FEE,-117,281,-797,-433.8
CREDIT CARD COSTS,-488.13,-457.65,-2906.54,-2631.13
POSTBOX RENTAL,0,-1.8,-8.7,-260.35
BAD DEBTS WRITTEN OFF,-95.55,-42.87,-69.41,929.42
TELEPHONE COSTS,-38.55,-87.23,-252.6,-1788.07
ADVERTISING,-176.02,0,-2058.94,-36.76
OFFICE ALLOWANCES,0,0,0,0
   - LEAVE / BONUS ALLOWANCE,0,0,-3618.67,-3116.7
   - GUARANTEED INCOME,0,0,0,0
   - OTHER OFFICE ALLOWANCES,-7833.08,-1635.04,-18701.85,-12554.19
RENT PAID - BUILDINGS,-1496.81,-897.66,-11346.93,-6285.8
MAINTENANCE - BUILDINGS,-3.2,0,-3.94,1.12
SECURITY,-248.83,-51.18,-2224.35,-524.88
CLEANING COSTS,0,0,0,0
MEDICAL WASTE,0,0,0,0
LOSS DUE TO THEFT,0,0,0,0
WATER & ELECTRICITY,-3996.75,-3420.39,-27468.69,-27404.04
 ,*******************,*******************,*******************,*******************
 ,-----------------,-----------------,-----------------,-----------------
NET INCOME/-(LOSS)BEFORE H/O EXPENSES,66767.71,82486.73,421519.37,394749.58
 ,-----------------,-----------------,-----------------,-----------------

TOTAL SALES/TURNOVER,213558.53,229988.13,1626928.83,1461051.19
 ,*******************,*******************,*******************,*******************
COFFIN SALES,41471.03,45412.3,292744.62,253760.95
WREATH SALES,8302.58,6405.52,65027.88,51442.62
GRAVESTONE SALES,21308.17,17083.86,239465.98,116529.68
FUNERALS CARRIED OUT,142476.75,161086.45,1029690.35,1039317.94
 ,*******************,*******************,*******************,*******************
COFFIN ACCOUNT
--------------
COFFIN SALES,41471.03,45412.3,292744.62,253760.95

LESS: EXPENSES,-29840.95,-30174.7,-213020.26,-195020.96
 ,*******************,*******************,*******************,*******************
COST OF SALES,-25216.79,-25745.95,-181092.87,-167413.03
COMMISSION PAID,-4624.16,-4428.75,-31927.39,-27607.93
 ,*******************,*******************,*******************,*******************
 ,-----------------,-----------------,-----------------,-----------------
WORKING PROFIT TO INCOME STATEMENT,11630.08,15237.6,79724.36,58739.99
 ,-----------------,-----------------,-----------------,-----------------
GROSS PROFIT PERCENTAGE,  39.19%,  43.30%,  38.13%,  34.02%


WREATH ACCOUNT
--------------
WREATH SALES,8302.58,6405.52,65027.88,51442.62
LESS: EXPENSES,-9713.04,-972.59,-56724.78,-46303.81
 ,*******************,*******************,*******************,*******************
COST OF SALES,-2450.64,-323.92,-12632.14,-9441.29
COST OF SALES- FRESH FLOWERS,-6435.3,-6.64,-37587.28,-31710.13
COMMISSION,-827.1,-642.03,-6505.36,-5152.39
 ,*******************,*******************,*******************,*******************
 ,-----------------,-----------------,-----------------,-----------------
WORKING PROFIT TO INCOME STATEMENT,-1410.46,5432.93,8303.1,5138.81
 ,-----------------,-----------------,-----------------,-----------------
GROSS PROFIT PERCENTAGE,  70.48%,  94.94%,  80.57%,  81.64%


GRAVESTONE ACCOUNT
------------------
GRAVESTONE SALES,21308.17,17083.86,239465.98,116529.68
LESS: EXPENSES,-18657.42,-16967.98,-226075.98,-110691.56
 ,*******************,*******************,*******************,*******************
COST OF SALES,-16989.75,-13642.85,-191957.79,-94149.52
COMMISSION PAID,-1667.67,-3325.13,-34118.19,-16542.04
 ,*******************,*******************,*******************,*******************
 ,-----------------,-----------------,-----------------,-----------------
WORKING PROFIT TO INCOME STATEMENT,2650.75,115.88,13390,5838.12
 ,-----------------,-----------------,-----------------,-----------------
GROSS PROFIT PERCENTAGE,  20.26%,  20.14%,  19.83%,  19.20%

FUNERAL ACCOUNT
---------------
FUNERALS CARRIED OUT,142476.75,161086.45,1029690.35,1039317.94
LESS: EXPENSES,-74085.49,-93073.31,-640130.82,-660180.1
 ,*******************,*******************,*******************,*******************
COMPREHENSIVE PRICE EXPENSES,0,0,0,0
    MORTUARY FEE,-14.1,2.78,-112.18,-949.53
    NAMEPLATES,-290.35,-250.04,-2256.73,-1861.5
    MAINT & DEPR - VEHICLES,-7631.05,-6685.07,-59675.03,-131318.41
    FUEL,-7308.68,-6154.01,-49379.91,-33236.85
    MAINT & DEPR - EQUIPMENT,-360.34,-757.7,-3313.99,-3715.71
    UNDERTAKERSFEE,-21981.52,-20042.05,-135932.08,-134738.73
    TELEPHONE COSTS,-680.46,-454.58,-4983.35,-2842.02
NON CORE SERVICES,0,0,0,0
    TRANSPORT,331.78,-4473.73,-21457.43,-27991.86
    EQUIPMENT,-2069.97,-7383.52,-44256.5,-43365.81
    REFRESHMENTS,-905.59,-3101.12,-8789.91,-18386.91
    COMPENSATION,-1227.77,-1013.33,-12590.1,-3910.12
OTHER EXPENSES,0,0,0,0
    FUNERAL NOTICES & PROGRAMMES,-14255.96,-11400.98,-96183.25,-76950.67
    DOCTERS' FEES,-1764.29,-37.35,-11072.26,-183.15
    GRAVE COSTS,1612.69,-2889.28,-58052.67,-66871.54
    RENTAL EXPENSES,30.62,-2.15,-4.84,-13.77
    CREMATION FEES,-6126.51,-12271.25,-42709.48,-39870.68
    OTHER TRANSPORT,-9403.77,-11584.76,-70350.14,-52598.47
    COMMUNITY INVOLVEMENT,-1850,-1901.43,-13200,-12424.28
    SUNDRY EXPENSES,-190.22,-2673.74,-5810.97,-8950.09
 ,*******************,*******************,*******************,*******************
 ,-----------------,-----------------,-----------------,-----------------
WORKING PROFIT TO INCOME STATEMENT,68391.26,68013.14,389559.53,379137.84
 ,-----------------,-----------------,-----------------,-----------------
