 ,       March 2011,       March 2010,  Current/YR (Cum), Previous/YR (Cum)

Branch - 0630  BELLVILLE                     Area 36 BELVILLE
INCOME
------
WORKING PROFIT,94679.04,94923.11,1049349.45,498691.82
 ,*******************,*******************,*******************,*******************
COFFINS,12365.69,15356.3,206821.86,72852.12
WREATH,-7303.98,831.58,-14718.32,18092.86
GRAVESTONES,189.56,1335.91,6525,8332.04
FUNERALS,89427.77,77399.32,850720.91,399414.8
 ,*******************,*******************,*******************,*******************
LESS: CONTROLLABLE BRANCH EXPENSES,-29631.08,-24838.78,-279463.77,-190174.06
 ,*******************,*******************,*******************,*******************
FUNERAL SALES DOCUMENTATION FEE,-202,0,-1759,0
CREDIT CARD COSTS,-1318.78,-2194.13,-14027.87,-20265.83
POSTBOX RENTAL,-324,0,-657.97,-285.66
BAD DEBTS WRITTEN OFF,-271.75,-109.54,-1706.32,-100.79
TELEPHONE COSTS,-288.53,-317.66,-2365.13,-8399.51
ADVERTISING,-642.11,-4181.23,-13880.3,-6050.63
OFFICE ALLOWANCES,0,0,0,0
   - LEAVE / BONUS ALLOWANCE,0,0,-8727.65,-9133.14
   - GUARANTEED INCOME,0,0,0,0
   - OTHER OFFICE ALLOWANCES,-4926.87,-4051.52,-39090.63,-36680.74
RENT PAID - BUILDINGS,-9297.29,-5534.92,-84535.32,-49821.85
MAINTENANCE - BUILDINGS,11.02,0,-2.57,3.88
SECURITY,-53.57,-53.72,-2845.18,-499.38
CLEANING COSTS,0,0,0,0
MEDICAL WASTE,0,-150,0,-525
LOSS DUE TO THEFT,0,0,0,0
WATER & ELECTRICITY,-12317.2,-8246.06,-109865.83,-58415.41
 ,*******************,*******************,*******************,*******************
 ,-----------------,-----------------,-----------------,-----------------
NET INCOME/-(LOSS)BEFORE H/O EXPENSES,65047.96,70084.33,769885.68,308517.76
 ,-----------------,-----------------,-----------------,-----------------

TOTAL SALES/TURNOVER,374215.6,513673.99,3791959.4,3967410.7
 ,*******************,*******************,*******************,*******************
COFFIN SALES,59267.56,80392.59,670686.85,591351.99
WREATH SALES,13078.4,20765.5,143363.88,157970.2
GRAVESTONE SALES,33351.64,29186.34,143293.1,180084.68
FUNERALS CARRIED OUT,268518,383329.56,2834615.57,3038003.83
 ,*******************,*******************,*******************,*******************
COFFIN ACCOUNT
--------------
COFFIN SALES,59267.56,80392.59,670686.85,591351.99

LESS: EXPENSES,-46901.87,-65036.29,-463864.99,-518499.87
 ,*******************,*******************,*******************,*******************
COST OF SALES,-40260.73,-55852.71,-390022.58,-451324.58
COMMISSION PAID,-6641.14,-9183.58,-73842.41,-67175.29
 ,*******************,*******************,*******************,*******************
 ,-----------------,-----------------,-----------------,-----------------
WORKING PROFIT TO INCOME STATEMENT,12365.69,15356.3,206821.86,72852.12
 ,-----------------,-----------------,-----------------,-----------------
GROSS PROFIT PERCENTAGE,  32.06%,  30.52%,  41.84%,  23.67%


WREATH ACCOUNT
--------------
WREATH SALES,13078.4,20765.5,143363.88,157970.2
LESS: EXPENSES,-20382.38,-19933.92,-158082.2,-139877.34
 ,*******************,*******************,*******************,*******************
COST OF SALES,-4315.55,-1601.01,-32807.49,-19694.58
COST OF SALES- FRESH FLOWERS,-14736,-16250.89,-111088.38,-104424.96
COMMISSION,-1330.83,-2082.02,-14186.33,-15757.8
 ,*******************,*******************,*******************,*******************
 ,-----------------,-----------------,-----------------,-----------------
WORKING PROFIT TO INCOME STATEMENT,-7303.98,831.58,-14718.32,18092.86
 ,-----------------,-----------------,-----------------,-----------------
GROSS PROFIT PERCENTAGE,  67.00%,  92.29%,  77.11%,  87.53%


GRAVESTONE ACCOUNT
------------------
GRAVESTONE SALES,33351.64,29186.34,143293.1,180084.68
LESS: EXPENSES,-33162.08,-27850.43,-136768.1,-171752.64
 ,*******************,*******************,*******************,*******************
COST OF SALES,-26502.26,-23683.26,-114395.8,-148546.3
COMMISSION PAID,-6659.82,-4167.17,-22372.3,-23206.34
 ,*******************,*******************,*******************,*******************
 ,-----------------,-----------------,-----------------,-----------------
WORKING PROFIT TO INCOME STATEMENT,189.56,1335.91,6525,8332.04
 ,-----------------,-----------------,-----------------,-----------------
GROSS PROFIT PERCENTAGE,  20.53%,  18.85%,  20.16%,  17.51%

FUNERAL ACCOUNT
---------------
FUNERALS CARRIED OUT,268518,383329.56,2834615.57,3038003.83
LESS: EXPENSES,-179090.23,-305930.24,-1983894.66,-2638589.03
 ,*******************,*******************,*******************,*******************
COMPREHENSIVE PRICE EXPENSES,0,0,0,0
    MORTUARY FEE,12.38,-616.21,-11596.2,-1001.49
    NAMEPLATES,-4786.89,-819.08,-38924.94,-6410.25
    MAINT & DEPR - VEHICLES,-11182.74,-12831.02,-122897.82,-130209.01
    FUEL,-15610.6,-6904.15,-96359.24,-53865.25
    MAINT & DEPR - EQUIPMENT,-356.78,-351.02,-6212.28,-5562.57
    UNDERTAKERSFEE,-47953.21,-45762.43,-476576.26,-407017.36
    TELEPHONE COSTS,-1449.71,-1833.32,-14509.94,-17145.17
NON CORE SERVICES,0,0,0,0
    TRANSPORT,-5737.05,-5366.59,-76416.58,-69342.3
    EQUIPMENT,-4208.63,-1292.35,-45404.92,-32937.79
    REFRESHMENTS,-290.11,166.53,-1514.27,-207.08
    COMPENSATION,-894.82,0,-23085.7,0
OTHER EXPENSES,0,0,0,0
    FUNERAL NOTICES & PROGRAMMES,-21250.87,-49736.06,-294908.38,-370914.9
    DOCTERS' FEES,-9509.73,-20137.65,-91392.44,-107461.49
    GRAVE COSTS,-11595.48,-22325.77,-132060.32,-153098.97
    RENTAL EXPENSES,-1828.56,-1180.95,-16445.3,-6215.89
    CREMATION FEES,-20250.46,-20778.06,-206454.09,-177425.19
    OTHER TRANSPORT,-9082.76,-89223.22,-177709.57,-861960.65
    COMMUNITY INVOLVEMENT,-3475,-4097.53,-33150,-33917.58
    SUNDRY EXPENSES,-9639.21,-22841.36,-118276.41,-203896.09
 ,*******************,*******************,*******************,*******************
 ,-----------------,-----------------,-----------------,-----------------
WORKING PROFIT TO INCOME STATEMENT,89427.77,77399.32,850720.91,399414.8
 ,-----------------,-----------------,-----------------,-----------------
