 ,       April 2011,       April 2010,  Current/YR (Cum), Previous/YR (Cum)

Branch - 0632  GEO H ROGERS (OOS LONDEN)     Area 37 OOS LONDEN
INCOME
------
WORKING PROFIT,8327.08,48782.06,686845.37,360492.01
 ,*******************,*******************,*******************,*******************
COFFINS,4815.14,9064.16,86662.68,90360.69
WREATH,-2433.95,-2122.77,9456.64,700.51
GRAVESTONES,2114.73,1392.7,16803.64,8104.13
FUNERALS,3831.16,40447.97,573922.41,261326.68
 ,*******************,*******************,*******************,*******************
LESS: CONTROLLABLE BRANCH EXPENSES,-1284.82,-4179.83,-73846.53,-69247.06
 ,*******************,*******************,*******************,*******************
FUNERAL SALES DOCUMENTATION FEE,-62,-15,-1179,-115
CREDIT CARD COSTS,-3.94,-1.47,-37.16,-80.59
POSTBOX RENTAL,0,0,-272.09,-256.44
BAD DEBTS WRITTEN OFF,69.47,-9.77,943.22,427.53
TELEPHONE COSTS,-44.81,-16.99,-2444.44,-1242.85
ADVERTISING,-22.9,-85.34,-1681.79,-2402.04
OFFICE ALLOWANCES,0,0,0,0
   - LEAVE / BONUS ALLOWANCE,0,0,-3828.64,-3252.01
   - GUARANTEED INCOME,0,0,0,0
   - OTHER OFFICE ALLOWANCES,-640,-643.58,-6392.89,-20060.52
RENT PAID - BUILDINGS,-28.83,-18.11,-1204.17,-182.48
MAINTENANCE - BUILDINGS,0,0,-0.46,0.7
SECURITY,-340.07,-77,-3566.18,-5087.98
CLEANING COSTS,0,0,0,0
MEDICAL WASTE,0,0,-5076.85,-2989.68
LOSS DUE TO THEFT,0,0,0,0
WATER & ELECTRICITY,-211.74,-3312.57,-49106.08,-34005.7
 ,*******************,*******************,*******************,*******************
 ,-----------------,-----------------,-----------------,-----------------
NET INCOME/-(LOSS)BEFORE H/O EXPENSES,7042.26,44602.23,612998.84,291244.95
 ,-----------------,-----------------,-----------------,-----------------

TOTAL SALES/TURNOVER,116922.6,152557.09,2478165.76,1664786.69
 ,*******************,*******************,*******************,*******************
COFFIN SALES,22517.53,33938.59,479940.29,413344.66
WREATH SALES,5785.31,6757.45,122832.48,78324.53
GRAVESTONE SALES,23056.19,18880.05,396533.98,201328.28
FUNERALS CARRIED OUT,65563.57,92981,1478859.01,971789.22
 ,*******************,*******************,*******************,*******************
COFFIN ACCOUNT
--------------
COFFIN SALES,22517.53,33938.59,479940.29,413344.66

LESS: EXPENSES,-17702.39,-24874.43,-393277.61,-322983.97
 ,*******************,*******************,*******************,*******************
COST OF SALES,-15227.87,-21192.32,-342086.75,-282324.11
COMMISSION PAID,-2474.52,-3682.11,-51190.86,-40659.86
 ,*******************,*******************,*******************,*******************
 ,-----------------,-----------------,-----------------,-----------------
WORKING PROFIT TO INCOME STATEMENT,4815.14,9064.16,86662.68,90360.69
 ,-----------------,-----------------,-----------------,-----------------
GROSS PROFIT PERCENTAGE,  32.37%,  37.55%,  28.72%,  31.69%


WREATH ACCOUNT
--------------
WREATH SALES,5785.31,6757.45,122832.48,78324.53
LESS: EXPENSES,-8219.26,-8880.22,-113375.84,-77624.02
 ,*******************,*******************,*******************,*******************
COST OF SALES,-695.66,-1424.57,-26476.89,-22822.24
COST OF SALES- FRESH FLOWERS,-6974.95,-6783.39,-74607.35,-46920.73
COMMISSION,-548.65,-672.26,-12291.6,-7881.05
 ,*******************,*******************,*******************,*******************
 ,-----------------,-----------------,-----------------,-----------------
WORKING PROFIT TO INCOME STATEMENT,-2433.95,-2122.77,9456.64,700.51
 ,-----------------,-----------------,-----------------,-----------------
GROSS PROFIT PERCENTAGE,  87.97%,  78.91%,  78.44%,  70.86%


GRAVESTONE ACCOUNT
------------------
GRAVESTONE SALES,23056.19,18880.05,396533.98,201328.28
LESS: EXPENSES,-20941.46,-17487.35,-379730.34,-193224.15
 ,*******************,*******************,*******************,*******************
COST OF SALES,-19271.6,-15725.98,-326119.23,-166323.15
COMMISSION PAID,-1669.86,-1761.37,-53611.11,-26901
 ,*******************,*******************,*******************,*******************
 ,-----------------,-----------------,-----------------,-----------------
WORKING PROFIT TO INCOME STATEMENT,2114.73,1392.7,16803.64,8104.13
 ,-----------------,-----------------,-----------------,-----------------
GROSS PROFIT PERCENTAGE,  16.41%,  16.70%,  17.75%,  17.38%

FUNERAL ACCOUNT
---------------
FUNERALS CARRIED OUT,65563.57,92981,1478859.01,971789.22
LESS: EXPENSES,-61732.41,-52533.03,-904936.6,-710462.54
 ,*******************,*******************,*******************,*******************
COMPREHENSIVE PRICE EXPENSES,0,0,0,0
    MORTUARY FEE,1.53,-19.8,-3308.35,-227.35
    NAMEPLATES,-159.67,113.55,-2656.97,-3163.39
    MAINT & DEPR - VEHICLES,-9324.38,-10867.56,-132822.69,-159464.43
    FUEL,-15000.37,-11835.54,-127318.36,-97926.39
    MAINT & DEPR - EQUIPMENT,-1176.86,-1687.34,-16255.91,-26940.67
    UNDERTAKERSFEE,-15537.66,-15906.75,-267561.42,-176319.83
    TELEPHONE COSTS,-433.54,-34.18,-6760.26,-815.15
NON CORE SERVICES,0,0,0,0
    TRANSPORT,-88.69,120.45,44.24,64.08
    EQUIPMENT,-5142.79,-985.49,-102433.76,-68758.35
    REFRESHMENTS,-3485.65,-139.7,-57642.03,-122.33
    COMPENSATION,-528.78,-39.71,-10497.66,-39.71
OTHER EXPENSES,0,0,0,0
    FUNERAL NOTICES & PROGRAMMES,-8925.66,-5438.46,-98734.17,-58101.56
    DOCTERS' FEES,-95.6,64.91,-68.05,-25.16
    GRAVE COSTS,-104.64,-4086.57,-43452.17,-84835.19
    RENTAL EXPENSES,-18.98,-1.96,-27.74,-60.15
    CREMATION FEES,-12.26,26.06,-7133.5,-4709.27
    OTHER TRANSPORT,-12.43,-48.98,200.95,-11450.77
    COMMUNITY INVOLVEMENT,-1000,-1500,-20875,-14673.67
    SUNDRY EXPENSES,-685.98,-265.96,-7633.75,-2893.25
 ,*******************,*******************,*******************,*******************
 ,-----------------,-----------------,-----------------,-----------------
WORKING PROFIT TO INCOME STATEMENT,3831.16,40447.97,573922.41,261326.68
 ,-----------------,-----------------,-----------------,-----------------
