 ,    February 2011,    February 2010,  Current/YR (Cum), Previous/YR (Cum)

Branch - 0639  EERSTERIVIER                  Area 36 BELVILLE
INCOME
------
WORKING PROFIT,8243.76,-48289.92,110911.55,-42646.07
 ,*******************,*******************,*******************,*******************
COFFINS,-489.88,622.25,11776.61,-500.39
WREATH,65.33,-2.44,2023.26,3289.9
GRAVESTONES,431.36,-1025.26,2797.54,-191.79
FUNERALS,8236.95,-47884.47,94314.14,-45243.79
 ,*******************,*******************,*******************,*******************
LESS: CONTROLLABLE BRANCH EXPENSES,-12096.92,-8327.72,-87483.66,-86279.24
 ,*******************,*******************,*******************,*******************
FUNERAL SALES DOCUMENTATION FEE,-18,0,-313,-912
CREDIT CARD COSTS,-0.43,-7.18,-17.75,-48.41
POSTBOX RENTAL,0,0,-307.33,-253.95
BAD DEBTS WRITTEN OFF,-61.11,-1.99,-159.72,268.19
TELEPHONE COSTS,-25.8,-32.99,-817.48,-10187.08
ADVERTISING,-159.18,-193.91,-947.76,-207.99
OFFICE ALLOWANCES,0,0,0,0
   - LEAVE / BONUS ALLOWANCE,0,0,0,0
   - GUARANTEED INCOME,0,0,0,-10570.58
   - OTHER OFFICE ALLOWANCES,-2387.02,-1514.63,-12106.68,-6636.24
RENT PAID - BUILDINGS,-7365.66,-6170.33,-60353.82,-49065.62
MAINTENANCE - BUILDINGS,0,0,-1123.9,-1703.07
SECURITY,-47.39,-49.01,-349.74,-395.71
CLEANING COSTS,0,0,0,0
MEDICAL WASTE,0,0,0,0
LOSS DUE TO THEFT,0,0.11,0,0.9
WATER & ELECTRICITY,-2032.33,-357.79,-10986.48,-6567.68
 ,*******************,*******************,*******************,*******************
 ,-----------------,-----------------,-----------------,-----------------
NET INCOME/-(LOSS)BEFORE H/O EXPENSES,-3853.16,-56617.64,23427.89,-128925.31
 ,-----------------,-----------------,-----------------,-----------------

TOTAL SALES/TURNOVER,34490.3,22303.29,584243.38,261544.73
 ,*******************,*******************,*******************,*******************
COFFIN SALES,3671.27,4656.13,100065.94,45000.39
WREATH SALES,1137.57,856.49,21630.6,11194.94
GRAVESTONE SALES,2847.28,4656.04,47054.61,31910.42
FUNERALS CARRIED OUT,26834.18,12134.63,415492.23,173438.98
 ,*******************,*******************,*******************,*******************
COFFIN ACCOUNT
--------------
COFFIN SALES,3671.27,4656.13,100065.94,45000.39

LESS: EXPENSES,-4161.15,-4033.88,-88289.33,-45500.78
 ,*******************,*******************,*******************,*******************
COST OF SALES,-3824.13,-3489.45,-77693.49,-39763.2
COMMISSION PAID,-337.02,-544.43,-10595.84,-5737.58
 ,*******************,*******************,*******************,*******************
 ,-----------------,-----------------,-----------------,-----------------
WORKING PROFIT TO INCOME STATEMENT,-489.88,622.25,11776.61,-500.39
 ,-----------------,-----------------,-----------------,-----------------
GROSS PROFIT PERCENTAGE,  -4.16%,  25.05%,  22.35%,  11.63%

