BSR21002, AVBOB INFORMATION SERVICES - PRODUCTION,11-06-07
.,OMSET SYFERS PER AGENTSKAP VIR TYDPERK VAN,201007,TOT,201105
Agentskap naam,Totale omset,Begrafnisse aantal,Begrafnisse waarde,Grafstene aantal,Grafstene waarde,Kiste aantal,Kiste waarde,Kranse aantal,Kranse waarde,Vars blom aantal,Vars blom waarde,Versekering aantal,Versekering waarde,Komm ontvang aantal,Komm ontvang waarde
1,WELKOM - 275,Opgegradeer 19981999
Huidige jaar,3040119,339,2026119,30,170140,431,637662,384,36247,245,169950,204,301275,391565,73607
Vorige jaar,2527999,331,1752851,24,106508,418,483961,402,30714,240,153966,181,296993,362860,91062
Afwyking,512120,8,273269,6,63632,13,153701,-18,5534,5,15984,23,4282,28705,-17455
Afwyking %,20,2,16,25,60,3,32,-4,18,2,10,13,1,8,-19
Doelwit,2702503,353,1840495,26,119289,459,542036,504,34400,285,166283,0,0,0,0
Afwyking,337616,-14,185625,4,50851,-28,95625,-120,1848,-40,3667,204,301275,0,0
Afwyking %,12,-4,10,15,43,-6,18,-24,5,-14,2,0,0,0,0
2,BETHLEHEM - 14,Opgegradeer 19981999
Huidige jaar,2413803,260,1585097,44,225586,287,503565,286,24616,123,74940,148,184595,354630,94793
Vorige jaar,2164433,253,1557392,34,129996,260,404068,292,17264,99,55713,166,200238,312543,84181
Afwyking,249371,7,27705,10,95590,27,99497,-6,7352,24,19227,-18,-15643,42087,10612
Afwyking %,12,3,2,29,74,10,25,-2,43,24,35,-11,-8,13,13
Doelwit,2312921,241,1635264,27,145597,255,452556,459,19335,106,60170,0,0,0,0
Afwyking,100882,19,-50167,17,79989,32,51009,-173,5281,17,14770,148,184595,0,0
Afwyking %,4,8,-3,63,55,13,11,-38,27,16,25,0,0,0,0
3,KROONSTAD - 118
Huidige jaar,1123855,173,827937,9,39641,211,225425,376,27647,66,3205,73,57006,198719,17528
Vorige jaar,1174902,178,890068,5,37444,218,208269,501,32331,92,6789,91,81482,208663,28924
Afwyking,-51047,-5,-62132,4,2197,-7,17156,-125,-4683,-26,-3585,-18,-24476,-9944,-11396
Afwyking %,-4,-3,-7,80,6,-3,8,-25,-14,-28,-53,-20,-30,-5,-39
Doelwit,1253315,204,934571,15,41937,251,233264,597,36211,111,7332,0,0,0,0
Afwyking,-129460,-31,-106635,-6,-2296,-40,-7839,-221,-8563,-45,-4127,73,57006,0,0
Afwyking %,-10,-15,-11,-40,-5,-16,-3,-37,-24,-41,-56,0,0,0,0
4,ODENDAALSRUS - 160
Huidige jaar,880778,100,587797,9,62238,121,168724,147,15719,42,46300,22,38671,145872,7712
Vorige jaar,833343,108,565630,11,69964,128,153992,190,9948,41,33810,25,59382,135904,15940
Afwyking,47435,-8,22167,-2,-7726,-7,14732,-43,5772,1,12490,-3,-20711,9968,-8228
Afwyking %,6,-7,4,-18,-11,-5,10,-23,58,2,37,-12,-35,7,-52
Doelwit,892393,108,593908,11,78359,143,172470,161,11142,48,36515,0,0,0,0
Afwyking,-11615,-8,-6111,-2,-16121,-22,-3746,-14,4578,-6,9785,22,38671,0,0
Afwyking %,-1,-7,-1,-18,-21,-15,-2,-9,41,-13,27,0,0,0,0
5,HENNENMAN - 98
Huidige jaar,655013,78,426072,14,48436,105,133092,158,16392,47,31022,68,64685,98264,13212
Vorige jaar,581043,76,360456,11,69507,85,113150,173,13057,43,24874,71,70957,86214,19823
Afwyking,73971,2,65616,3,-21071,20,19942,-15,3336,4,6147,-3,-6271,12050,-6612
Afwyking %,13,3,18,27,-30,24,18,-9,26,9,25,-4,-9,14,-33
