 ,    February 2011,    February 2010,  Current/YR (Cum), Previous/YR (Cum)

Branch - 0666  KREMATORIUM KEMPTON PARK      Area 5 JOHANNESBURG
INCOME
------
WORKING PROFIT,-2226.61,10036.18,-18748.19,-8315.93
 ,*******************,*******************,*******************,*******************
COFFINS,0,0,0,0
WREATH,-19.21,-412.53,32.04,1465.93
GRAVESTONES,83.18,-96.15,384.96,-1182.16
FUNERALS,-2290.58,10544.86,-19165.19,-8599.7
 ,*******************,*******************,*******************,*******************
LESS: CONTROLLABLE BRANCH EXPENSES,-1901.93,-1679.4,-19629.47,-7510.54
 ,*******************,*******************,*******************,*******************
FUNERAL SALES DOCUMENTATION FEE,0,0,0,0
CREDIT CARD COSTS,-2.22,-36.76,-91.15,-248.12
POSTBOX RENTAL,0,0,-321.07,-20.31
BAD DEBTS WRITTEN OFF,-312.83,-10.59,-798.37,962.22
TELEPHONE COSTS,-132.12,-168.92,-627.48,-3674.92
ADVERTISING,-814.91,-992.71,-4851.97,-1064.8
OFFICE ALLOWANCES,0,0,0,0
   - LEAVE / BONUS ALLOWANCE,0,0,0,0
   - GUARANTEED INCOME,0,0,0,0
   - OTHER OFFICE ALLOWANCES,0,-51.75,22.37,-469.45
RENT PAID - BUILDINGS,-90.69,-56.97,-3720.12,-609.24
MAINTENANCE - BUILDINGS,0,0,-7.73,2.21
SECURITY,-595.52,-377.35,-4183.64,-3328.9
CLEANING COSTS,0,0,0,0
MEDICAL WASTE,0,0,0,0
LOSS DUE TO THEFT,0,0,0,0
WATER & ELECTRICITY,46.36,15.65,-5050.31,940.77
 ,*******************,*******************,*******************,*******************
 ,-----------------,-----------------,-----------------,-----------------
NET INCOME/-(LOSS)BEFORE H/O EXPENSES,-4128.54,8356.78,-38377.66,-15826.47
 ,-----------------,-----------------,-----------------,-----------------

TOTAL SALES/TURNOVER,-1133.32,641.26,-11409.15,-2705.36
 ,*******************,*******************,*******************,*******************
COFFIN SALES,0,0,0,0
WREATH SALES,-12.44,10.77,-63.45,-182.23
GRAVESTONE SALES,-0.19,-0.49,-4.91,-5.35
FUNERALS CARRIED OUT,-1120.69,630.98,-11340.79,-2517.78
 ,*******************,*******************,*******************,*******************
COFFIN ACCOUNT
--------------
COFFIN SALES

LESS: EXPENSES,0,0,0,0
 ,*******************,*******************,*******************,*******************
COST OF SALES,0,0,0,0
COMMISSION PAID,0,0,0,0
